Fitness : Violation : Position : Miscellaneous
4.937824948981677E-6 : 1.3538890127964148E-5 : [1.0029807397514916E-5, 9.754447138809114E-7, 2.8859646498491895E-6, 7.491384043181796E-7, 1.6087079943026486E-6, 1.2931191650550897E-6, 1.2530588466815006E-6, 1.8890132081243018E-6, 3.797839773593522E-6, 1.667140236237544E-6, 1.9927212591409147E-6, 7.687133040713868E-7, 1.336765562241468E-5, 1.9899074761770875E-7, 1.463709248902937E-6, 2.5950081895966884E-8, 1.3376096575803462E-6, 2.8901904476704398E-8, 5.286041311874251E-7, 5.112624045933652E-8, 8.866304128874559E-8, 2.4754500944181807E-7, 1.7735894283282778E-8, 8.810526800923815E-9] : 0.0
7.3779582099017985E-6 : 2.1705285229566396E-5 : [1.5848581833880298E-5, 4.149808040188412E-6, 1.2248914434466202E-6, 3.2846645975806083E-6, 1.382871932651546E-6, 7.044359857021426E-7, 4.801856258300711E-6, 4.544760916512239E-6, 1.4909083530231224E-6, 5.371898277770059E-6, 2.609260661099826E-6, 2.579233917874426E-6, 2.2671261206905813E-5, 3.865051882134105E-7, 4.959341729124714E-7, 6.488872464901317E-7, 7.906553996974258E-7, 1.5733337917557322E-7, 1.287038587313476E-7, 4.4811732967795386E-7, 1.6409416218830716E-8, 5.301960213187924E-7, 2.4610775392060157E-8, 1.1679701412208291E-8] : 0.0
4.781902715653324E-6 : 1.1824162423583352E-5 : [6.5755761923002616E-6, 3.206697377469482E-7, 4.289818555202872E-6, 1.3229839820699052E-6, 1.2933143657824241E-6, 1.270382576992031E-6, 5.580172011565832E-7, 8.201012043313881E-7, 1.95735494369205E-6, 3.019166290171132E-6, 3.9795466124720064E-6, 1.2125766488236343E-6, 1.4804340617324232E-5, 6.749101677079332E-8, 9.540899426599247E-8, 2.7914102532482814E-7, 2.4592555495832353E-8, 3.469340774723235E-7, 1.2904767523199432E-7, 1.0036486606827165E-7, 5.1872558012462974E-8, 4.404223366248566E-7, 5.969318799890333E-9, 1.3600251090264878E-8] : 0.0
5.083035516695341E-6 : 1.1472393921411174E-5 : [5.940477676552938E-6, 1.5088314728290507E-6, 2.061431585359336E-6, 2.860341185171466E-6, 9.504918771704928E-7, 9.909543589353564E-7, 4.163195465906479E-6, 4.866925259982439E-6, 1.1183932536511112E-6, 3.268262267808189E-6, 1.7986700074457508E-6, 1.9259181238023742E-6, 1.2748450268565999E-5, 5.739329414807186E-7, 1.2480704884693622E-6, 1.893906105031462E-7, 4.421404268474285E-7, 1.4398057978093148E-7, 4.778482816278173E-7, 6.676864922280445E-8, 4.863473673140628E-9, 3.1153912095229493E-7, 9.08715046036315E-9, 1.002005851939121E-8] : 0.0
4.612547236527091E-6 : 1.4022292555890799E-5 : [1.2568321517794814E-5, 1.6701686792705282E-6, 1.1313644673119953E-6, 7.717940193689794E-7, 9.694901309374348E-7, 1.00351715053415E-6, 3.4663766264269365E-6, 8.400545449329526E-7, 1.6772301311025324E-6, 1.562708765455346E-6, 1.74499770798734E-6, 5.397855736402318E-6, 1.243319966187628E-5, 3.444374680455103E-7, 6.279759812694599E-7, 6.187224702568991E-8, 7.906969727646304E-8, 3.064332735542766E-7, 2.3641086268596306E-7, 6.275232334223955E-8, 4.728615293264835E-10, 3.342945163722241E-7, 1.327535278109232E-9, 2.533924018463484E-9] : 0.0
6.013018461598872E-6 : 1.685878793318717E-5 : [1.0930443951191198E-5, 6.81487966593808E-7, 1.6709186807917166E-6, 1.6447929323892715E-6, 1.898957734462774E-6, 6.689476183202939E-7, 2.2856885503844913E-6, 4.184067771090243E-6, 6.338612980063456E-6, 1.923034608258179E-6, 3.034350628483525E-6, 4.858573503352568E-6, 1.7785685181325014E-5, 3.275669676313707E-7, 5.922238346706958E-7, 2.0167327097057337E-7, 7.975096915510183E-8, 1.0619135783827537E-7, 1.4720114947428411E-6, 1.0998892384853477E-7, 1.0991360812664513E-7, 1.3580740083050727E-7, 1.2422469063285029E-8, 3.2869695672037E-9] : 0.0
4.966775919524396E-6 : 1.3337067508390569E-5 : [7.518790208403494E-6, 7.375472950546339E-7, 2.9758018703747517E-6, 1.3442728212243557E-6, 1.6504456694531451E-6, 1.4583884009581215E-6, 3.459567660916154E-6, 1.9712982407652977E-6, 1.3763733954953013E-6, 2.156348443913993E-6, 6.330084286408327E-7, 1.790288400864001E-6, 1.5624924957588842E-5, 8.952591089406156E-8, 6.056825216324858E-7, 4.0512088980071985E-7, 2.5042124682215046E-8, 2.4511964031559143E-7, 1.1499940497549216E-6, 1.8772035559919328E-7, 4.616450182060672E-8, 7.500836206221679E-7, 7.697893834695062E-9, 2.389615178143953E-8] : 0.0
5.008072056657589E-6 : 1.5300773423983985E-5 : [5.685146006505357E-6, 1.2114599024152285E-6, 2.7286414185233593E-6, 2.1361412656187693E-6, 1.0735240189579204E-6, 5.14810515438373E-7, 1.8774107384610347E-7, 1.5005461901218354E-6, 3.843830942253112E-6, 2.1936905428010506E-6, 3.029721418335698E-7, 7.615826278658234E-7, 2.2018309587291477E-5, 1.114185107378659E-7, 6.336806121787014E-7, 5.245758066212301E-7, 1.8580557185643494E-6, 3.2171836557604164E-8, 3.6593298629767974E-9, 7.867078161223552E-8, 6.60298019011575E-8, 6.314646523871225E-7, 4.757351802752957E-9, 2.388473924402636E-8] : 0.0
3.8130912549483192E-6 : 1.2404248865741224E-5 : [8.02032934843044E-6, 1.3336804330910074E-6, 1.8866206882895806E-6, 2.869985619841101E-7, 7.857962989501563E-7, 1.3405139732405225E-6, 2.3229850391050144E-6, 1.6353593850705104E-6, 2.0331534251637228E-6, 7.645757952651518E-7, 8.590020781893363E-7, 1.0237327436526684E-6, 1.3817475420749723E-5, 2.098035925450928E-7, 9.507374732584426E-7, 6.659117542315925E-8, 3.525595085880127E-7, 1.3708467988230116E-7, 4.45008971529214E-8, 3.023079216422782E-8, 3.306092911118899E-8, 9.439038520966558E-8, 3.5301764487867726E-10, 2.171844655900811E-9] : 0.0
7.0834803616870515E-6 : 1.725143641840793E-5 : [1.0390368840829187E-5, 3.369196836504161E-6, 2.901351123392825E-6, 1.4317369705125208E-6, 1.1271403319007908E-6, 3.302864128827643E-6, 5.741434002472838E-6, 2.609273656782404E-6, 3.9337949376060445E-6, 3.2510457790615954E-6, 9.834059010978021E-7, 9.754973353587714E-7, 1.7063911085261613E-5, 6.870281035691644E-7, 1.6916520628711514E-6, 9.287979073653679E-8, 6.298282823715259E-8, 2.3329515361919514E-7, 2.529264252720716E-6, 3.0674470370449204E-7, 3.86312420824065E-8, 6.759159748224974E-7, 3.7178638520839933E-9, 7.368880306654358E-10] : 0.0
