Fitness - Violation
-1054.3569752176932 - 1.5335461284848637E10
-1030.843425681668 - 2.0647812288175327E10
-895.139973004395 - 389018.90850572626
-960.7307001459819 - 1.7086844094574148E10
-1080.0830369331704 - 6.840433227398319E8
-1174.1960845331564 - 1.1126634581815564E11
-953.7042917902236 - 1.0210069220171039E11
-1064.3169157177354 - 1.6274097514488852E11
-1374.9806571462457 - 1.243789525262917E11
-1128.406481561725 - 1.491920535514861E10
-1142.9034438964825 - 1.6507354178051435E10
-1127.593863518829 - 2.241507557683571E11
-1309.717148461907 - 3.9251070882409454E10
-1030.6321689580336 - 1.4687563280147491E10
-1096.9991186421394 - 1.5546687258443531E10
-1176.6165304782446 - 4.633670637072766E9
-881.3203827857211 - 4.415638077551164E9
-1020.8487435740744 - 3.0903958768259644E11
-1151.696325703972 - 1.4097688874230997E11
-816.405940925266 - 1.0405514333120163E8
-1040.5469106752219 - 4.801525600945048E10
-1116.439497594822 - 3.970198317159919E10
-1245.239275759681 - 4.43275052975022E10
-836.4909534451529 - 1.2056325054669043E8
-1437.3227995473856 - 1.432107933550829E11
-1003.562836351212 - 8.904269669412161E10
-1090.3515395850213 - 1.5636159220283792E11
-1123.9219623174354 - 4.849156373438953E10
-1081.0412110536613 - 1.0490078935172676E11
-1029.5949899857483 - 1.8551154088235268E10
