Fitness : Violation : Position : Miscellaneous
-6.972136591287922E14 : 0.375 : [3.329890621319766E-15, 2.232896195075617E-15, 3.736383176057379E-15, 1.2700929192659897E-15, 7.980999717421946E-16, 3.870021219137787E-15, 8.632786948173001E-16, 2.8079145966611907E-15, 2.4261459476263082E-15, 9.634880567487352E-16, 2.6064576849877752E-15, 8.597048577595337E-17, 1.4756146018629835E-15, 8.116037189930497E-16, 2.4187584550085305E-15, 1.3993429315755188E-15, 7.892725606693039E-16, 1.5354302220381043E-15, 1.919968455497653E-15, 9.754348892298689E-16] : 0.0
-7.161529365742951E14 : 0.375 : [2.6782846126946654E-15, 5.866099069516996E-15, 1.0994724825024585E-15, 2.4996228966051198E-15, 4.5416525626678356E-15, 1.1187101140440802E-15, 2.6346089287980693E-16, 3.9007806647149614E-16, 6.209404273244055E-16, 2.479136605320479E-15, 2.0731047099863263E-15, 1.2239028161259655E-15, 7.014694143924783E-16, 1.3948976352262164E-15, 2.0187909816233388E-16, 1.972237006242108E-16, 1.1760627630963448E-15, 1.4128002088308434E-15, 1.8920181281763657E-15, 2.47249159178313E-15] : 0.0
-7.306201607667162E14 : 0.375 : [1.4848685663608926E-15, 1.1193003206172389E-15, 1.653111462496026E-15, 8.756622062998468E-16, 5.6603578761117945E-15, 5.072176397137632E-15, 2.2450420793833927E-15, 2.4831852227863953E-15, 1.4254011499358142E-15, 8.192763756167901E-16, 5.649680386867183E-16, 1.2851400162649554E-15, 1.6888169326602451E-15, 6.327782647977126E-16, 1.777337553931489E-15, 5.185932103510386E-16, 7.48785282748173E-16, 7.041960809663632E-16, 1.0348654857378029E-15, 7.180285978650382E-16] : 0.0
-5.94234174369347E14 : 0.375 : [1.245029372547869E-16, 2.446550858378027E-15, 2.109287668946658E-15, 3.0845650572359955E-15, 2.4655472517953868E-15, 1.5303317365691373E-15, 4.490980684151261E-15, 1.004435573456117E-15, 7.052368580283551E-16, 1.2290613547615323E-15, 8.769348396989758E-16, 3.5409591582214244E-15, 1.9031734297877206E-15, 3.5265426851961106E-15, 1.590790474999254E-15, 1.06805938961466E-16, 3.174166260343103E-16, 6.457385612668335E-16, 3.351217807312062E-15, 2.7949549559253346E-17] : 0.0
-6.364623944235128E14 : 0.375 : [8.203937997718548E-15, 1.1690148587083133E-17, 4.523017234598418E-15, 1.3468538429197307E-15, 4.96278000072742E-15, 5.163168372536084E-16, 2.2950503744087614E-15, 1.0323663909835306E-15, 4.139117646926485E-16, 2.7050731403817627E-15, 1.2755662089678026E-15, 1.7479427961798039E-15, 5.943296452823829E-16, 2.8234452943495736E-16, 2.9042565532538164E-15, 1.1129499971803761E-15, 9.295226593419595E-18, 2.059623322540729E-15, 2.102595895642696E-15, 1.613639307234761E-15] : 0.0
-1.0185711075468415E15 : 0.375 : [3.973958717417167E-15, 1.3443796129920706E-15, 1.4996945891664459E-15, 3.0628327355709913E-15, 3.251439682250359E-16, 7.087588408405805E-16, 9.993896419818136E-16, 2.2747110585276566E-15, 2.0988330067470055E-15, 9.860662599659942E-17, 2.249318527809466E-15, 3.4272439364393763E-16, 7.767679570906765E-16, 1.4099445514137042E-15, 1.1058014329811588E-16, 7.620415123885207E-16, 4.801479209900604E-16, 8.592790402342907E-16, 2.905319381105431E-16, 1.340088598398804E-15] : 0.0
-9.576697118154966E14 : 0.375 : [3.3535442239501473E-15, 5.697502269523323E-16, 2.8702952377792684E-15, 2.397102683878668E-15, 1.0037722485335156E-15, 1.0282398149716877E-15, 3.1825361488316044E-15, 2.2936915214906554E-15, 1.7001236258025276E-15, 5.643260303247758E-16, 3.1828896517967715E-16, 7.664954000051397E-16, 1.876280140824043E-15, 5.639799019854359E-16, 1.0526067963589416E-16, 3.3353966135110293E-16, 1.752940942445973E-15, 5.733126925642151E-16, 7.28986519296535E-16, 7.593310586108817E-16] : 0.0
-9.894555691124088E14 : 0.375 : [2.2034465049223124E-15, 3.613886739815012E-15, 3.869019616087073E-15, 2.0235690414507894E-15, 2.3857914231566823E-16, 2.275607811350972E-15, 1.187098921333279E-15, 1.7775452365188917E-15, 2.0853029466207373E-15, 1.1575896614691245E-15, 8.540927187832751E-16, 6.561384315724518E-16, 4.29882692066041E-16, 1.1407509319012943E-15, 4.535554272091837E-16, 1.4305805937041523E-15, 2.6001951534063405E-16, 8.802840059539092E-16, 1.35385201161316E-15, 6.385338007684822E-17] : 0.0
-6.919112199490626E14 : 0.375 : [7.27277855032906E-15, 1.7232852545156612E-15, 2.825159047516426E-16, 2.643633929382055E-15, 2.2355800501503537E-15, 1.9854691005759778E-15, 5.549066309611137E-15, 1.0009561479832995E-15, 1.5548484439188412E-15, 5.721791196794717E-16, 1.380938691293707E-15, 7.199628776743255E-17, 3.7120164442242237E-16, 1.0292795968707084E-15, 1.2973225450300517E-15, 1.4076424752497617E-15, 1.5611666377709322E-15, 1.3944192203493214E-15, 1.7549423504169051E-15, 1.7741695992233196E-15] : 0.0
-4.08381117450644E14 : 0.375 : [7.373349196307278E-16, 9.421193673470995E-15, 7.126595930906074E-16, 5.884803641450828E-15, 5.633104778400965E-15, 2.1341084221210422E-16, 4.2255669690306E-16, 6.002769464192994E-15, 6.984262955427254E-15, 2.910073214322034E-15, 2.8806546404987975E-15, 1.1376352453302473E-15, 5.112533242955635E-15, 9.758116240905452E-16, 1.2997408220651222E-15, 1.672942781713156E-15, 7.199376930950402E-16, 2.428704948054655E-15, 4.939636267889653E-16, 3.739387906205213E-16] : 0.0
